,Date,Mean,Positive_Delta_NDVI,Negative_Delta_NDVI,Positive_Percent_Delta_NDVI (%),Negative_Percent_Delta_NDVI (%)
1,04-01-2020,0.3314076698333333,29.0,30.0,48.333,50.0
2,14-01-2020,0.36446320050000003,23.0,36.0,38.333,60.0
3,24-01-2020,0.37690099533333327,16.0,43.0,26.667,71.667
4,29-01-2020,0.3475521753333333,15.0,44.0,25.0,73.333
5,03-02-2020,0.3342161868333333,17.0,42.0,28.333,70.0
6,18-02-2020,0.32524188633333334,18.0,41.0,30.0,68.333
7,23-02-2020,0.2992757665,20.0,39.0,33.333,65.0
8,28-02-2020,0.2984011861666667,26.0,33.0,43.333,55.0
9,09-03-2020,0.31975523233333336,26.0,33.0,43.333,55.0
10,14-03-2020,0.33975505133333334,23.0,36.0,38.333,60.0
11,19-03-2020,0.3081307753333334,28.0,31.0,46.667,51.667
12,29-03-2020,0.35348460583333335,27.0,32.0,45.0,53.333
13,03-04-2020,0.3882218916666666,27.0,32.0,45.0,53.333
14,13-04-2020,0.47939619283333335,21.0,38.0,35.0,63.333
15,18-04-2020,0.45825150066666664,27.0,32.0,45.0,53.333
16,03-05-2020,0.431087918,27.0,32.0,45.0,53.333
17,28-05-2020,0.288871669,22.0,37.0,36.667,61.667
18,07-07-2020,0.48106090650000005,18.0,41.0,30.0,68.333
19,12-07-2020,0.4355614465,31.0,28.0,51.667,46.667
20,27-07-2020,0.6534179206666667,28.0,31.0,46.667,51.667
21,31-08-2020,0.5917647191666666,24.0,35.0,40.0,58.333
22,15-09-2020,0.49805141183333335,27.0,32.0,45.0,53.333
23,05-10-2020,0.4022895063333333,23.0,36.0,38.333,60.0
24,15-10-2020,0.489939369,13.0,46.0,21.667,76.667
25,19-11-2020,0.5581750561666666,26.0,33.0,43.333,55.0
26,28-01-2021,0.3246424286666667,22.0,37.0,36.667,61.667
27,02-02-2021,0.26676291316666667,18.0,41.0,30.0,68.333
28,07-02-2021,0.23544176020000002,18.0,41.0,30.0,68.333
29,12-02-2021,0.40408186100000004,27.0,32.0,45.0,53.333
30,27-02-2021,0.4261363758333333,24.0,35.0,40.0,58.333
31,14-03-2021,0.4850917365,37.0,22.0,61.667,36.667
32,19-03-2021,0.5335426474999999,33.0,26.0,55.0,43.333
33,24-03-2021,0.5512797908333332,35.0,24.0,58.333,40.0
34,03-04-2021,0.6514283586666667,33.0,26.0,55.0,43.333
35,13-04-2021,0.5711642143333333,27.0,32.0,45.0,53.333
